Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2004nh,BAE SYSTEMS Granite State Regional,qm,1,1,157,1277,,97,138,,35,60,1561,1450,,1529,1530,,43.1%,0,-6.5,-25
2004nh,BAE SYSTEMS Granite State Regional,qm,1,2,140,885,,166,529,,35,35,1428,1477,,1556,1459,,34.6%,0.5,-14.9,0
2004nh,BAE SYSTEMS Granite State Regional,qm,1,3,1152,467,,811,176,,25,30,1390,1490,,1445,1584,,29.7%,0,-20.2,-5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,4,134,1073,,501,1350,,85,150,1454,1459,,1449,1450,,52.0%,0,1.9,-65
2004nh,BAE SYSTEMS Granite State Regional,qm,1,5,155,1058,,213,40,,20,75,1409,1469,,1474,1348,,58.1%,0,7.6,-55
2004nh,BAE SYSTEMS Granite State Regional,qm,1,6,69,42,,1289,549,,120,30,1581,1507,,1450,1490,,70.2%,1,20.0,90
2004nh,BAE SYSTEMS Granite State Regional,qm,1,7,151,1474,,1153,95,,35,35,1493,1450,,1423,1482,,55.4%,0.5,5.1,0
2004nh,BAE SYSTEMS Granite State Regional,qm,1,8,121,350,,663,238,,25,25,1571,1450,,1407,1456,,71.2%,0.5,21.3,0
2004nh,BAE SYSTEMS Granite State Regional,qm,1,9,229,125,,241,175,,5,50,1503,1522,,1460,1546,,52.9%,0,2.7,-45
2004nh,BAE SYSTEMS Granite State Regional,qm,1,10,58,1335,,1276,319,,40,60,1578,1450,,1450,1406,,72.9%,0,23.2,-20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,11,131,1307,,246,172,,65,25,1504,1450,,1413,1495,,56.5%,1,6.1,40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,12,562,1247,,839,126,,20,50,1499,1450,,1522,1549,,33.1%,0,-16.5,-30
2004nh,BAE SYSTEMS Granite State Regional,qm,1,13,133,97,,190,296,,15,35,1418,1536,,1473,1497,,47.7%,0,-2.2,-20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,14,885,157,,1277,140,,30,35,1482,1554,,1443,1433,,71.4%,0,21.5,-5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,15,138,166,,529,1152,,50,10,1536,1551,,1454,1395,,79.8%,1,32.2,40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,16,1350,811,,176,501,,35,150,1474,1440,,1579,1473,,31.2%,0,-18.6,-115
2004nh,BAE SYSTEMS Granite State Regional,qm,1,17,1073,213,,467,134,,110,60,1435,1496,,1495,1430,,50.8%,1,0.7,50
2004nh,BAE SYSTEMS Granite State Regional,qm,1,18,549,69,,40,155,,100,60,1465,1606,,1370,1386,,85.9%,1,42.3,40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,19,42,1289,,1058,151,,45,25,1532,1425,,1447,1491,,52.7%,1,2.5,20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,20,238,121,,1474,1153,,120,60,1463,1563,,1448,1425,,70.8%,1,20.7,60
2004nh,BAE SYSTEMS Granite State Regional,qm,1,21,95,241,,350,663,,45,0,1484,1477,,1442,1415,,64.4%,1,13.9,45
2004nh,BAE SYSTEMS Granite State Regional,qm,1,22,1335,229,,125,58,,25,20,1435,1486,,1506,1562,,30.0%,1,-19.8,5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,23,175,1276,,319,131,,60,130,1563,1465,,1421,1516,,62.8%,0,12.3,-70
2004nh,BAE SYSTEMS Granite State Regional,qm,1,24,1247,839,,1307,246,,15,55,1445,1527,,1462,1401,,65.2%,0,14.7,-40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,25,126,562,,172,133,,140,25,1554,1494,,1483,1412,,70.7%,1,20.6,115
2004nh,BAE SYSTEMS Granite State Regional,qm,1,26,1152,190,,296,140,,15,10,1392,1480,,1503,1443,,39.5%,1,-10.0,5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,27,501,529,,97,1277,,85,40,1507,1451,,1529,1453,,46.5%,1,-3.2,45
2004nh,BAE SYSTEMS Granite State Regional,qm,1,28,157,138,,166,885,,130,70,1545,1539,,1554,1473,,58.2%,1,7.7,60
2004nh,BAE SYSTEMS Granite State Regional,qm,1,29,213,176,,69,1073,,90,95,1513,1613,,1605,1453,,59.7%,0,9.2,-5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,30,811,467,,134,1350,,40,75,1406,1478,,1413,1439,,54.5%,0,4.2,-35
2004nh,BAE SYSTEMS Granite State Regional,qm,1,31,1289,1058,,155,549,,80,30,1431,1441,,1387,1464,,53.1%,1,2.9,50
2004nh,BAE SYSTEMS Granite State Regional,qm,1,32,121,40,,151,42,,80,70,1577,1371,,1484,1538,,39.5%,1,-10.0,10
2004nh,BAE SYSTEMS Granite State Regional,qm,1,33,131,350,,229,1474,,35,15,1545,1431,,1495,1434,,56.8%,1,6.4,20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,34,663,95,,1153,238,,75,20,1404,1495,,1411,1477,,51.5%,1,1.4,55
2004nh,BAE SYSTEMS Granite State Regional,qm,1,35,58,319,,241,125,,50,70,1554,1451,,1488,1497,,52.8%,0,2.7,-20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,36,839,175,,1276,1335,,15,70,1507,1534,,1436,1443,,71.7%,0,21.8,-55
2004nh,BAE SYSTEMS Granite State Regional,qm,1,37,246,126,,190,1307,,35,35,1421,1587,,1485,1482,,55.9%,0.5,5.6,0
2004nh,BAE SYSTEMS Granite State Regional,qm,1,38,562,172,,133,1247,,25,15,1527,1449,,1378,1426,,73.0%,1,23.3,10
2004nh,BAE SYSTEMS Granite State Regional,qm,1,39,296,1152,,529,157,,20,75,1498,1398,,1468,1563,,31.3%,0,-18.4,-55
2004nh,BAE SYSTEMS Granite State Regional,qm,1,40,1277,166,,1073,811,,35,25,1436,1535,,1458,1392,,66.8%,1,16.4,10
2004nh,BAE SYSTEMS Granite State Regional,qm,1,41,1307,97,,885,69,,30,45,1484,1512,,1454,1610,,40.2%,0,-9.3,-15
2004nh,BAE SYSTEMS Granite State Regional,qm,1,42,140,246,,133,562,,20,50,1438,1419,,1383,1523,,42.9%,0,-6.7,-30
2004nh,BAE SYSTEMS Granite State Regional,qm,1,43,176,1289,,138,501,,80,85,1608,1448,,1558,1524,,46.2%,0,-3.6,-5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,44,467,151,,1058,131,,45,90,1464,1477,,1458,1550,,40.5%,0,-9.0,-45
2004nh,BAE SYSTEMS Granite State Regional,qm,1,45,1350,213,,549,121,,30,40,1453,1508,,1447,1584,,40.2%,0,-9.3,-10
2004nh,BAE SYSTEMS Granite State Regional,qm,1,46,40,134,,350,229,,145,105,1378,1427,,1436,1490,,33.2%,1,-16.3,40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,47,1474,663,,42,155,,20,55,1429,1423,,1531,1370,,43.0%,0,-6.6,-35
2004nh,BAE SYSTEMS Granite State Regional,qm,1,48,125,190,,238,1276,,15,45,1505,1487,,1458,1463,,60.0%,0,9.5,-30
2004nh,BAE SYSTEMS Granite State Regional,qm,1,49,319,241,,95,839,,35,75,1442,1496,,1514,1480,,42.1%,0,-7.5,-40
2004nh,BAE SYSTEMS Granite State Regional,qm,1,50,175,1153,,126,58,,100,90,1506,1392,,1585,1545,,20.7%,1,-31.4,10
2004nh,BAE SYSTEMS Granite State Regional,qm,1,51,1247,172,,1335,296,,35,40,1430,1445,,1471,1485,,38.7%,0,-10.8,-5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,52,811,133,,157,1307,,100,80,1394,1391,,1576,1481,,17.2%,1,-36.8,20
2004nh,BAE SYSTEMS Granite State Regional,qm,1,53,69,529,,246,562,,100,30,1613,1481,,1410,1531,,70.6%,1,20.5,70
2004nh,BAE SYSTEMS Granite State Regional,qm,1,54,1152,176,,1289,1277,,45,75,1385,1607,,1448,1433,,65.4%,0,14.9,-30
2004nh,BAE SYSTEMS Granite State Regional,qm,1,55,501,1073,,151,885,,145,45,1525,1460,,1465,1456,,59.2%,1,8.7,100
2004nh,BAE SYSTEMS Granite State Regional,qm,1,56,140,138,,97,467,,40,40,1429,1558,,1510,1451,,53.8%,0.5,3.5,0
2004nh,BAE SYSTEMS Granite State Regional,qm,1,57,131,1350,,166,1058,,125,60,1563,1453,,1533,1471,,51.8%,1,1.7,65
2004nh,BAE SYSTEMS Granite State Regional,qm,1,58,1276,350,,213,549,,20,130,1477,1416,,1508,1447,,41.2%,0,-8.3,-110
2004nh,BAE SYSTEMS Granite State Regional,qm,1,59,229,40,,121,1474,,30,25,1470,1398,,1584,1419,,31.5%,1,-18.2,5
2004nh,BAE SYSTEMS Granite State Regional,qm,1,60,155,125,,134,42,,10,115,1381,1491,,1447,1541,,33.8%,0,-15.7,-105
2004nh,BAE SYSTEMS Granite State Regional,qm,1,61,190,238,,839,319,,80,15,1473,1472,,1491,1431,,53.3%,1,3.1,65
2004nh,BAE SYSTEMS Granite State Regional,qm,1,62,58,175,,1247,95,,150,25,1531,1521,,1433,1525,,63.2%,1,12.7,125
2004nh,BAE SYSTEMS Granite State Regional,qm,1,63,241,1335,,663,126,,25,130,1484,1469,,1413,1571,,45.6%,0,-4.1,-105
2004nh,BAE SYSTEMS Granite State Regional,qm,1,64,1153,246,,172,296,,10,40,1406,1393,,1447,1483,,32.1%,0,-17.6,-30
2004nh,BAE SYSTEMS Granite State Regional,qm,1,65,1307,811,,562,1289,,55,130,1461,1414,,1513,1464,,35.8%,0,-13.7,-75
2004nh,BAE SYSTEMS Granite State Regional,qm,1,66,529,151,,157,133,,40,25,1499,1432,,1556,1411,,44.7%,1,-5.0,15
