Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,1,6483,4584,3472,7102,3794,6156,275,51,1467,1484,1507,1450,1511,1401,63.6%,1,41.5,224,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,2,6652,5696,5133,6017,3354,3522,41,230,1454,1471,1444,1467,1485,1476,41.5%,0,-25.6,-189,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,3,3478,5948,4010,6647,6666,6676,366,143,1632,1475,1498,1502,1480,1425,75.8%,1,84.9,223,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,4,6106,3510,6218,6407,4782,4731,243,193,1460,1465,1442,1453,1469,1462,47.6%,1,-7.2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,5,4746,5932,5344,6348,3158,4635,50,186,1420,1457,1434,1473,1610,1540,14.2%,0,-133.7,-136,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,6,4775,6170,6694,5887,6507,3526,112,226,1464,1513,1454,1473,1424,1457,60.9%,0,32.8,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,7,5716,4401,6820,6200,5874,6319,327,157,1513,1548,1450,1467,1459,1456,67.8%,1,55.4,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,8,6605,6965,3527,6010,6983,3933,10,308,1445,1450,1474,1413,1450,1524,47.2%,0,-8.2,-298,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,9,6483,4782,5948,5696,5344,6017,373,144,1488,1462,1491,1452,1433,1485,60.0%,1,30.0,229,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,10,3526,3478,4746,6507,6106,3472,347,93,1474,1647,1419,1441,1466,1528,64.7%,1,45.1,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,11,3522,6652,6820,5716,4010,7102,176,117,1495,1436,1463,1526,1514,1430,39.2%,1,-32.6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,12,5932,4775,5133,6983,6170,6647,286,138,1457,1447,1425,1483,1497,1486,31.3%,1,-58.3,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,13,6319,6156,3510,6666,6407,6605,134,5,1443,1381,1471,1465,1446,1412,46.0%,1,-11.8,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,14,4635,5887,4401,3354,6965,3933,165,240,1540,1490,1561,1503,1417,1557,65.8%,0,48.5,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,15,4584,6676,6200,6694,3158,6010,190,258,1505,1409,1454,1438,1610,1446,32.6%,0,-53.8,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,16,4731,6218,6348,5874,3794,3527,235,207,1456,1449,1473,1446,1490,1441,50.1%,1,0.4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,17,3522,6666,6170,6820,4746,6605,212,30,1505,1449,1474,1473,1443,1396,66.0%,1,49.4,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,18,4010,6483,6407,4401,5948,3354,207,324,1504,1510,1430,1547,1513,1517,31.8%,0,-56.8,-117,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,19,6106,5133,6647,6156,4635,5932,274,132,1443,1449,1463,1397,1526,1480,43.0%,1,-20.8,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,20,6694,5874,5716,5887,6017,3472,271,30,1439,1443,1516,1476,1463,1504,43.6%,1,-19.3,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,21,3933,4731,6319,6348,3510,6676,144,173,1570,1459,1459,1476,1487,1408,66.3%,0,50.1,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,22,3158,7102,6218,3526,5696,6965,46,352,1612,1419,1452,1497,1430,1431,67.3%,0,53.5,-306,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,23,3527,6507,6200,6652,4584,4782,169,161,1438,1417,1452,1446,1503,1485,32.5%,1,-54.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,24,3794,6010,5344,6983,3478,4775,25,372,1487,1447,1411,1459,1671,1470,18.7%,0,-109.0,-347,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,25,5874,6605,3472,6676,5932,6407,229,155,1472,1381,1475,1417,1462,1424,53.7%,1,11.1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,26,6348,3526,6017,4010,4401,3510,204,178,1485,1537,1434,1497,1553,1496,37.3%,1,-38.5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,27,3933,4746,4635,6200,7102,5948,221,238,1562,1428,1508,1459,1379,1520,69.0%,0,59.5,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,28,6666,6010,6507,5344,5133,3354,179,141,1464,1421,1424,1384,1467,1524,40.6%,1,-28.4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,29,3794,3158,4584,5716,6652,6983,259,144,1460,1572,1496,1545,1439,1486,58.2%,1,24.6,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,30,6647,6218,5887,6319,6106,6483,299,155,1482,1412,1447,1450,1461,1504,39.4%,1,-31.9,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,31,6820,6170,3478,6694,3527,5696,315,63,1458,1489,1697,1469,1445,1470,81.7%,1,111.3,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,32,4731,4775,6156,6965,3522,4782,196,176,1450,1497,1378,1472,1520,1478,30.4%,1,-61.4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,33,7102,4746,6507,3933,4010,5344,173,259,1387,1419,1432,1553,1490,1377,26.1%,0,-77.4,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,34,3472,6652,6010,6218,6666,4401,331,152,1482,1429,1428,1431,1471,1546,34.8%,1,-46.7,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,35,6605,6676,3354,5716,6106,3527,159,319,1388,1410,1516,1535,1441,1429,37.2%,0,-38.9,-160,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,36,4635,5696,3522,6983,6694,4731,322,196,1500,1454,1511,1476,1453,1459,60.8%,1,32.7,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,37,3510,6407,6170,4775,6965,3794,168,147,1489,1417,1504,1506,1463,1470,45.8%,1,-12.5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,38,5874,6348,5887,4782,6647,3478,163,373,1479,1492,1467,1469,1501,1713,19.6%,0,-104.8,-210,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,39,6483,6156,6017,5932,6200,3158,224,187,1484,1388,1441,1455,1468,1582,24.9%,1,-82.2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,40,5948,3526,4584,5133,6319,6820,393,10,1529,1545,1506,1459,1430,1474,77.6%,1,92.4,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,41,6676,6507,5696,3794,5716,6666,157,165,1396,1431,1465,1467,1549,1446,27.4%,0,-72.5,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,42,3527,3933,4401,4775,3522,6106,129,385,1443,1554,1521,1503,1521,1455,55.6%,0,16.6,-256,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,43,6407,5887,6010,6652,6348,4746,233,319,1420,1455,1454,1455,1481,1418,46.4%,0,-10.6,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,44,3472,6647,4635,6017,6170,4584,339,209,1507,1513,1510,1455,1508,1539,54.1%,1,12.2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,45,5932,6983,6218,3510,6820,5948,42,230,1441,1465,1406,1493,1441,1561,25.9%,0,-78.0,-188,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,46,7102,3478,6319,3354,6156,6694,367,229,1387,1725,1398,1503,1401,1442,71.9%,1,69.6,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018mxmo,Monterrey Regional,qm,1,47,4782,5874,4010,3158,5133,6965,241,95,1480,1467,1491,1569,1427,1459,47.7%,1,-6.7,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
