Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,
2020isde1,ISR District Event #1,qm,1,1,5747,1577,5038,2212,4590,2230,37,25,1514,1686,1564,1564,1534,1576,62.6%,1,16.1,12,,,
2020isde1,ISR District Event #1,qm,1,2,7079,7845,2096,1574,3034,6230,50,73,1553,1517,1556,1729,1587,1473,28.2%,0,-29.1,-23,,,
2020isde1,ISR District Event #1,qm,1,3,7177,7554,1943,7112,6738,6736,48,22,1515,1442,1506,1466,1540,1533,39.2%,1,-13.6,26,,,
2020isde1,ISR District Event #1,qm,1,4,5135,5990,6740,3211,5715,4319,61,47,1474,1564,1544,1596,1492,1464,54.3%,1,5.3,14,,,
2020isde1,ISR District Event #1,qm,1,5,4661,4586,8333,3083,5554,8223,63,74,1408,1568,1450,1514,1605,1450,30.4%,0,-25.7,-11,,,
2020isde1,ISR District Event #1,qm,1,6,6230,7554,1580,5135,1937,2212,26,31,1471,1453,1444,1476,1622,1565,15.4%,0,-53.0,-5,,,
2020isde1,ISR District Event #1,qm,1,7,4319,6740,4586,2096,4661,1577,44,136,1462,1546,1572,1558,1412,1685,39.5%,0,-13.3,-92,,,
2020isde1,ISR District Event #1,qm,1,8,3083,5715,7079,7845,7112,5990,28,119,1510,1489,1554,1519,1455,1566,51.9%,0,2.4,-91,,,
2020isde1,ISR District Event #1,qm,1,9,6738,3034,5038,5554,1580,5747,51,121,1530,1586,1562,1601,1457,1513,64.9%,0,19.2,-70,,,
2020isde1,ISR District Event #1,qm,1,10,4590,3211,1574,1937,8333,6736,110,36,1535,1593,1727,1610,1454,1523,82.5%,1,48.2,74,,,
2020isde1,ISR District Event #1,qm,1,11,1577,8223,7177,1943,2230,1580,81,71,1706,1446,1526,1517,1577,1480,64.5%,1,18.6,10,,,
2020isde1,ISR District Event #1,qm,1,12,7079,5554,8333,2096,4590,6740,109,109,1529,1625,1447,1579,1542,1525,43.7%,0.5,-7.9,0,,,
2020isde1,ISR District Event #1,qm,1,13,1574,5990,4661,3034,8223,1943,73,101,1734,1591,1433,1562,1444,1519,79.3%,0,41.8,-28,,,
2020isde1,ISR District Event #1,qm,1,14,6736,5135,6230,5747,6738,5715,46,57,1516,1463,1484,1536,1506,1464,43.8%,0,-7.8,-11,,,
2020isde1,ISR District Event #1,qm,1,15,1937,5038,7112,2212,7845,4586,57,84,1603,1539,1480,1552,1544,1551,46.3%,0,-4.6,-27,,,
2020isde1,ISR District Event #1,qm,1,16,7554,3083,3211,7177,2230,4319,37,52,1466,1485,1600,1523,1579,1441,51.1%,0,1.4,-15,,,
2020isde1,ISR District Event #1,qm,1,17,4586,7112,5747,7845,1580,6740,51,46,1557,1474,1537,1550,1483,1523,51.8%,1,2.3,5,,,
2020isde1,ISR District Event #1,qm,1,18,1577,3034,3211,4319,7079,6738,92,55,1704,1580,1596,1445,1531,1507,90.7%,1,71.1,37,,,
2020isde1,ISR District Event #1,qm,1,19,2230,5038,8223,7554,5990,6736,50,52,1583,1533,1462,1461,1572,1515,54.3%,0,5.3,-2,,,
2020isde1,ISR District Event #1,qm,1,20,4590,1943,6230,2096,3083,8333,55,73,1540,1538,1483,1577,1481,1449,57.7%,0,9.7,-18,,,
2020isde1,ISR District Event #1,qm,1,21,2212,4661,5554,1574,7177,5135,89,66,1558,1414,1627,1715,1528,1462,35.2%,1,-19.0,23,,,
2020isde1,ISR District Event #1,qm,1,22,2230,3211,1937,5715,6230,7845,91,89,1582,1587,1597,1465,1476,1549,82.9%,1,49.2,2,,,
2020isde1,ISR District Event #1,qm,1,23,3034,5747,4590,4586,5554,7554,58,93,1571,1538,1532,1558,1639,1463,47.4%,0,-3.2,-35,,,
2020isde1,ISR District Event #1,qm,1,24,3083,7112,2212,6740,7079,6736,74,48,1488,1475,1569,1522,1541,1517,43.2%,1,-8.5,26,,,
2020isde1,ISR District Event #1,qm,1,25,1580,6738,4661,8223,8333,5990,43,63,1482,1516,1425,1460,1457,1574,40.3%,0,-12.3,-20,,,
